[step],total-discharged,total-recovered,patient-deaths,successful-antibiotics,total-antibiotic-failures,total-mutations
64,0.0,10.716049382716049,0.0,10.716049382716049,0.4567901234567901,19.790123456790123
65,0.0,11.037037037037036,0.0,11.037037037037036,0.4567901234567901,20.185185185185187
66,0.0,11.283950617283951,0.0,11.283950617283951,0.4567901234567901,20.617283950617285
67,0.0,11.617283950617283,0.0,11.617283950617283,0.48148148148148145,20.91358024691358
68,0.0,11.962962962962964,0.0,11.962962962962964,0.5061728395061729,21.234567901234566
69,0.0,12.308641975308642,0.0,12.308641975308642,0.5061728395061729,21.51851851851852
70,0.0,12.555555555555555,0.0,12.555555555555555,0.5061728395061729,21.765432098765434
71,0.0,12.753086419753087,0.0,12.753086419753087,0.49382716049382713,22.135802469135804
72,0.0,13.061728395061728,0.0,13.061728395061728,0.5061728395061729,22.493827160493826
73,0.0,13.37037037037037,0.0,13.37037037037037,0.5185185185185185,22.82716049382716
74,0.0,13.74074074074074,0.0,13.74074074074074,0.5432098765432098,23.37037037037037
75,0.0,14.123456790123457,0.0,14.123456790123457,0.5802469135802469,23.71604938271605
76,0.0,14.481481481481481,0.0,14.481481481481481,0.5925925925925926,24.0
77,0.0,14.876543209876543,0.0,14.876543209876543,0.5802469135802469,24.34567901234568
78,0.0,15.17283950617284,0.0,15.17283950617284,0.5925925925925926,24.666666666666668
79,0.0,15.493827160493828,0.0,15.493827160493828,0.5802469135802469,25.098765432098766
80,0.0,15.753086419753087,0.0,15.753086419753087,0.5925925925925926,25.567901234567902
81,0.0,16.419753086419753,0.0,16.419753086419753,0.6049382716049383,26.02469135802469
82,0.0,17.061728395061728,0.0,17.061728395061728,0.654320987654321,26.395061728395063
83,0.0,17.703703703703702,0.0,17.703703703703702,0.7037037037037037,26.790123456790123
84,0.0,18.40740740740741,0.0,18.40740740740741,0.7037037037037037,27.160493827160494
85,0.0,19.0,0.0,19.0,0.7037037037037037,27.48148148148148
86,0.0,19.469135802469136,0.0,19.469135802469136,0.7283950617283951,27.901234567901234
87,0.0,20.012345679012345,0.0,20.012345679012345,0.7283950617283951,28.25925925925926
88,0.0,20.419753086419753,0.012345679012345678,20.419753086419753,0.7407407407407407,28.62962962962963
89,0.0,20.950617283950617,0.012345679012345678,20.950617283950617,0.7777777777777778,29.012345679012345
90,0.0,21.555555555555557,0.012345679012345678,21.555555555555557,0.7901234567901234,29.40740740740741
91,0.0,21.77777777777778,0.012345679012345678,21.77777777777778,0.8271604938271605,29.753086419753085
92,0.0,22.17283950617284,0.012345679012345678,22.17283950617284,0.8518518518518519,30.049382716049383
93,0.0,22.876543209876544,0.012345679012345678,22.876543209876544,0.8765432098765432,30.395061728395063
94,0.0,23.19753086419753,0.012345679012345678,23.19753086419753,0.9135802469135802,30.85185185185185
95,0.0,23.82716049382716,0.012345679012345678,23.82716049382716,0.9629629629629629,31.135802469135804
96,0.0,24.382716049382715,0.012345679012345678,24.382716049382715,0.9753086419753086,31.59259259259259
97,0.0,24.85185185185185,0.012345679012345678,24.85185185185185,1.0,31.864197530864196
98,0.0,25.333333333333332,0.012345679012345678,25.333333333333332,1.0617283950617284,32.382716049382715
99,0.0,25.814814814814813,0.012345679012345678,25.814814814814813,1.1111111111111112,32.72839506172839
100,12.950617283950617,26.320987654320987,0.012345679012345678,26.320987654320987,1.1111111111111112,33.17283950617284
101,12.975308641975309,26.666666666666668,0.012345679012345678,26.666666666666668,1.1481481481481481,33.629629629629626
102,13.012345679012345,27.037037037037038,0.012345679012345678,27.037037037037038,1.1481481481481481,34.03703703703704
103,13.012345679012345,27.580246913580247,0.012345679012345678,27.580246913580247,1.1358024691358024,34.358024691358025
104,13.061728395061728,28.11111111111111,0.012345679012345678,28.11111111111111,1.1604938271604939,34.851851851851855
105,13.08641975308642,28.506172839506174,0.012345679012345678,28.506172839506174,1.1975308641975309,35.20987654320987
106,13.135802469135802,28.950617283950617,0.012345679012345678,28.950617283950617,1.1975308641975309,35.49382716049383
107,13.160493827160494,29.51851851851852,0.012345679012345678,29.51851851851852,1.2345679012345678,35.851851851851855
108,13.185185185185185,29.987654320987655,0.012345679012345678,29.987654320987655,1.2345679012345678,36.30864197530864
109,13.197530864197532,30.40740740740741,0.012345679012345678,30.40740740740741,1.2469135802469136,36.617283950617285
110,13.209876543209877,30.814814814814813,0.012345679012345678,30.814814814814813,1.308641975308642,37.01234567901235
111,13.246913580246913,31.08641975308642,0.012345679012345678,31.08641975308642,1.3209876543209877,37.370370370370374
112,13.25925925925926,31.48148148148148,0.012345679012345678,31.48148148148148,1.4074074074074074,37.72839506172839
113,13.283950617283951,31.938271604938272,0.012345679012345678,31.938271604938272,1.4320987654320987,38.19753086419753
114,13.320987654320987,32.51851851851852,0.012345679012345678,32.51851851851852,1.4074074074074074,38.641975308641975
115,13.320987654320987,32.925925925925924,0.024691358024691357,32.925925925925924,1.382716049382716,39.01234567901235
116,13.333333333333334,33.41975308641975,0.024691358024691357,33.41975308641975,1.4444444444444444,39.4320987654321
117,13.358024691358025,33.91358024691358,0.024691358024691357,33.91358024691358,1.5061728395061729,39.91358024691358
118,13.37037037037037,34.370370370370374,0.024691358024691357,34.370370370370374,1.4691358024691359,40.135802469135804
119,13.407407407407407,34.839506172839506,0.024691358024691357,34.839506172839506,1.5432098765432098,40.41975308641975
120,13.444444444444445,35.24691358024691,0.024691358024691357,35.24691358024691,1.654320987654321,40.82716049382716
121,13.814814814814815,35.60493827160494,0.024691358024691357,35.60493827160494,1.7160493827160495,41.19753086419753
122,14.11111111111111,36.02469135802469,0.024691358024691357,36.02469135802469,1.7037037037037037,41.592592592592595
123,14.308641975308642,36.46913580246913,0.024691358024691357,36.46913580246913,1.7160493827160495,41.98765432098765
124,14.54320987654321,36.77777777777778,0.024691358024691357,36.77777777777778,1.728395061728395,42.30864197530864
125,14.802469135802468,37.160493827160494,0.024691358024691357,37.160493827160494,1.7407407407407407,42.666666666666664
126,15.074074074074074,37.46913580246913,0.024691358024691357,37.46913580246913,1.7530864197530864,42.96296296296296
127,15.345679012345679,37.81481481481482,0.024691358024691357,37.81481481481482,1.7777777777777777,43.32098765432099
128,15.567901234567902,38.18518518518518,0.024691358024691357,38.18518518518518,1.8271604938271604,43.629629629629626
129,15.703703703703704,38.53086419753087,0.024691358024691357,38.53086419753087,1.8024691358024691,44.04938271604938
130,15.82716049382716,38.901234567901234,0.024691358024691357,38.901234567901234,1.8395061728395061,44.39506172839506
131,16.012345679012345,39.123456790123456,0.024691358024691357,39.123456790123456,1.8641975308641976,44.80246913580247
132,16.234567901234566,39.407407407407405,0.024691358024691357,39.407407407407405,1.8395061728395061,45.18518518518518
133,16.40740740740741,39.74074074074074,0.024691358024691357,39.74074074074074,1.8518518518518519,45.75308641975309
134,16.59259259259259,40.02469135802469,0.024691358024691357,40.02469135802469,1.9259259259259258,46.22222222222222
135,16.74074074074074,40.25925925925926,0.024691358024691357,40.25925925925926,1.9259259259259258,46.54320987654321
136,16.938271604938272,40.67901234567901,0.024691358024691357,40.67901234567901,1.9259259259259258,47.01234567901235
137,17.08641975308642,41.01234567901235,0.024691358024691357,41.01234567901235,1.876543209876543,47.4320987654321
138,17.308641975308642,41.25925925925926,0.024691358024691357,41.25925925925926,1.9012345679012346,47.76543209876543
139,17.45679012345679,41.617283950617285,0.037037037037037035,41.617283950617285,1.9135802469135803,48.111111111111114
140,17.641975308641975,41.97530864197531,0.04938271604938271,41.97530864197531,1.9135802469135803,48.4320987654321
141,17.80246913580247,42.148148148148145,0.04938271604938271,42.148148148148145,1.9506172839506173,48.864197530864196
142,17.987654320987655,42.4320987654321,0.04938271604938271,42.4320987654321,1.9506172839506173,49.30864197530864
143,18.185185185185187,42.75308641975309,0.04938271604938271,42.75308641975309,1.9753086419753085,49.76543209876543
144,18.333333333333332,43.01234567901235,0.04938271604938271,43.01234567901235,1.9259259259259258,50.17283950617284
145,18.54320987654321,43.370370370370374,0.04938271604938271,43.370370370370374,1.9135802469135803,50.55555555555556
146,18.617283950617285,43.65432098765432,0.04938271604938271,43.65432098765432,1.9259259259259258,51.111111111111114
147,18.82716049382716,44.06172839506173,0.04938271604938271,44.06172839506173,1.962962962962963,51.50617283950617
148,19.049382716049383,44.382716049382715,0.04938271604938271,44.382716049382715,2.0246913580246915,51.864197530864196
149,19.185185185185187,44.629629629629626,0.04938271604938271,44.629629629629626,2.037037037037037,52.30864197530864
150,19.45679012345679,44.876543209876544,0.04938271604938271,44.876543209876544,2.0123456790123457,52.7037037037037
151,19.790123456790123,45.08641975308642,0.04938271604938271,45.08641975308642,1.9753086419753085,53.20987654320987
152,20.28395061728395,45.2962962962963,0.04938271604938271,45.2962962962963,2.0,53.58024691358025
153,20.728395061728396,45.49382716049383,0.04938271604938271,45.49382716049383,2.0617283950617282,54.03703703703704
154,21.123456790123456,45.69135802469136,0.04938271604938271,45.69135802469136,2.0864197530864197,54.46913580246913
155,21.54320987654321,45.95061728395062,0.04938271604938271,45.95061728395062,2.0864197530864197,54.888888888888886
156,21.85185185185185,46.123456790123456,0.04938271604938271,46.123456790123456,2.0864197530864197,55.22222222222222
157,22.22222222222222,46.34567901234568,0.06172839506172839,46.34567901234568,2.0864197530864197,55.50617283950617
158,22.641975308641975,46.45679012345679,0.06172839506172839,46.45679012345679,2.1481481481481484,55.864197530864196
159,22.962962962962962,46.666666666666664,0.06172839506172839,46.666666666666664,2.0864197530864197,56.19753086419753
160,23.28395061728395,46.888888888888886,0.06172839506172839,46.888888888888886,2.0617283950617282,56.641975308641975
161,23.48148148148148,47.06172839506173,0.06172839506172839,47.06172839506173,2.0617283950617282,57.06172839506173
162,23.91358024691358,47.27160493827161,0.06172839506172839,47.27160493827161,2.049382716049383,57.53086419753087
163,24.271604938271604,47.44444444444444,0.06172839506172839,47.44444444444444,2.037037037037037,58.03703703703704
164,24.679012345679013,47.666666666666664,0.06172839506172839,47.666666666666664,2.049382716049383,58.58024691358025
165,25.0,47.888888888888886,0.06172839506172839,47.888888888888886,2.0617283950617282,59.03703703703704
166,25.246913580246915,48.111111111111114,0.06172839506172839,48.111111111111114,2.049382716049383,59.358024691358025
167,25.580246913580247,48.34567901234568,0.06172839506172839,48.34567901234568,2.049382716049383,59.666666666666664
168,25.950617283950617,48.592592592592595,0.06172839506172839,48.592592592592595,2.037037037037037,59.98765432098765
169,26.296296296296298,48.76543209876543,0.06172839506172839,48.76543209876543,2.074074074074074,60.30864197530864
170,26.54320987654321,49.02469135802469,0.06172839506172839,49.02469135802469,2.0864197530864197,60.71604938271605
171,26.74074074074074,49.18518518518518,0.06172839506172839,49.18518518518518,2.0987654320987654,61.04938271604938
172,27.049382716049383,49.44444444444444,0.06172839506172839,49.44444444444444,2.123456790123457,61.49382716049383
173,27.358024691358025,49.72839506172839,0.06172839506172839,49.72839506172839,2.1358024691358026,61.81481481481482
174,27.753086419753085,49.96296296296296,0.06172839506172839,49.96296296296296,2.123456790123457,62.074074074074076
175,28.14814814814815,50.111111111111114,0.06172839506172839,50.111111111111114,2.1481481481481484,62.54320987654321
176,28.506172839506174,50.30864197530864,0.06172839506172839,50.30864197530864,2.1728395061728394,63.074074074074076
177,28.901234567901234,50.48148148148148,0.06172839506172839,50.48148148148148,2.123456790123457,63.407407407407405
178,29.19753086419753,50.67901234567901,0.07407407407407407,50.67901234567901,2.0617283950617282,63.888888888888886
179,29.54320987654321,50.925925925925924,0.07407407407407407,50.925925925925924,2.037037037037037,64.30864197530865
180,29.80246913580247,51.111111111111114,0.07407407407407407,51.111111111111114,2.0246913580246915,64.70370370370371
181,30.469135802469136,51.19753086419753,0.07407407407407407,51.19753086419753,2.0,65.19753086419753
182,31.11111111111111,51.358024691358025,0.08641975308641975,51.358024691358025,1.9753086419753085,65.74074074074075
183,31.753086419753085,51.54320987654321,0.08641975308641975,51.54320987654321,1.9506172839506173,66.20987654320987
184,32.45679012345679,51.69135802469136,0.08641975308641975,51.69135802469136,1.9259259259259258,66.65432098765432
185,33.06172839506173,51.888888888888886,0.08641975308641975,51.888888888888886,1.9135802469135803,67.18518518518519
186,33.54320987654321,52.0,0.08641975308641975,52.0,1.9135802469135803,67.60493827160494
187,34.08641975308642,52.111111111111114,0.08641975308641975,52.111111111111114,1.9259259259259258,68.0246913580247
188,34.50617283950617,52.30864197530864,0.08641975308641975,52.30864197530864,1.9012345679012346,68.48148148148148
189,35.03703703703704,52.4320987654321,0.09876543209876543,52.4320987654321,1.8888888888888888,68.91358024691358
190,35.641975308641975,52.54320987654321,0.09876543209876543,52.54320987654321,1.9012345679012346,69.25925925925925
191,35.888888888888886,52.629629629629626,0.09876543209876543,52.629629629629626,1.9135802469135803,69.74074074074075
192,36.2962962962963,52.7037037037037,0.09876543209876543,52.7037037037037,1.9135802469135803,70.19753086419753
193,37.0,52.81481481481482,0.09876543209876543,52.81481481481482,1.876543209876543,70.69135802469135
194,37.32098765432099,52.96296296296296,0.09876543209876543,52.96296296296296,1.8395061728395061,71.22222222222223
195,37.95061728395062,53.098765432098766,0.09876543209876543,53.098765432098766,1.8024691358024691,71.61728395061728
196,38.51851851851852,53.22222222222222,0.09876543209876543,53.22222222222222,1.7777777777777777,72.0
197,39.0,53.30864197530864,0.09876543209876543,53.30864197530864,1.7654320987654322,72.55555555555556
198,39.48148148148148,53.44444444444444,0.09876543209876543,53.44444444444444,1.728395061728395,73.01234567901234
199,39.96296296296296,53.54320987654321,0.09876543209876543,53.54320987654321,1.7037037037037037,73.65432098765432
200,40.46913580246913,53.67901234567901,0.09876543209876543,53.67901234567901,1.691358024691358,74.08641975308642
201,40.81481481481482,53.839506172839506,0.09876543209876543,53.839506172839506,1.6666666666666667,74.66666666666667
202,41.18518518518518,53.91358024691358,0.1111111111111111,53.91358024691358,1.6419753086419753,75.12345679012346
203,41.76543209876543,54.01234567901235,0.1111111111111111,54.01234567901235,1.6419753086419753,75.55555555555556
204,42.30864197530864,54.135802469135804,0.1111111111111111,54.135802469135804,1.6296296296296295,76.11111111111111
205,42.7037037037037,54.2962962962963,0.1111111111111111,54.2962962962963,1.617283950617284,76.53086419753086
206,43.148148148148145,54.49382716049383,0.1111111111111111,54.49382716049383,1.5679012345679013,77.0
207,43.71604938271605,54.617283950617285,0.1111111111111111,54.617283950617285,1.5802469135802468,77.4320987654321
208,44.19753086419753,54.76543209876543,0.1111111111111111,54.76543209876543,1.6049382716049383,77.8641975308642
209,44.629629629629626,54.851851851851855,0.1111111111111111,54.851851851851855,1.6049382716049383,78.20987654320987
210,45.03703703703704,55.02469135802469,0.1111111111111111,55.02469135802469,1.6049382716049383,78.60493827160494
211,45.30864197530864,55.123456790123456,0.1111111111111111,55.123456790123456,1.6049382716049383,79.0
212,45.7037037037037,55.19753086419753,0.1111111111111111,55.19753086419753,1.5925925925925926,79.46913580246914
213,46.17283950617284,55.32098765432099,0.1111111111111111,55.32098765432099,1.5679012345679013,80.12345679012346
214,46.75308641975309,55.358024691358025,0.1111111111111111,55.358024691358025,1.5802469135802468,80.72839506172839
215,47.160493827160494,55.45679012345679,0.1111111111111111,55.45679012345679,1.5679012345679013,81.11111111111111
216,47.65432098765432,55.53086419753087,0.1111111111111111,55.53086419753087,1.5555555555555556,81.5925925925926
217,48.17283950617284,55.629629629629626,0.1111111111111111,55.629629629629626,1.5555555555555556,82.14814814814815
218,48.629629629629626,55.71604938271605,0.1111111111111111,55.71604938271605,1.5555555555555556,82.61728395061728
219,49.098765432098766,55.81481481481482,0.1111111111111111,55.81481481481482,1.5802469135802468,83.12345679012346
220,49.50617283950617,55.888888888888886,0.12345679012345678,55.888888888888886,1.5555555555555556,83.51851851851852
221,49.864197530864196,55.96296296296296,0.12345679012345678,55.96296296296296,1.5802469135802468,84.0246913580247
222,50.28395061728395,56.098765432098766,0.12345679012345678,56.098765432098766,1.5679012345679013,84.51851851851852
223,50.72839506172839,56.19753086419753,0.12345679012345678,56.19753086419753,1.5555555555555556,84.96296296296296
224,51.03703703703704,56.27160493827161,0.12345679012345678,56.27160493827161,1.5679012345679013,85.46913580246914
225,51.41975308641975,56.382716049382715,0.12345679012345678,56.382716049382715,1.5679012345679013,85.98765432098766
226,51.72839506172839,56.48148148148148,0.12345679012345678,56.48148148148148,1.5802469135802468,86.44444444444444
227,52.074074074074076,56.60493827160494,0.12345679012345678,56.60493827160494,1.6049382716049383,86.9753086419753
228,52.44444444444444,56.74074074074074,0.12345679012345678,56.74074074074074,1.5925925925925926,87.35802469135803
